Recombination Mutation
1 0.001
0.001 0.001
0.0379696 0.001
0.00566569 0.001
0.0369448 0.001
0.185085 0.001
0.122649 0.001
0.381535 0.001
0.497184 0.001
0.171967 0.001
0.127638 0.001
0.00191172 0.001
0.00054343 0.001
0.00012195 0.001
0.00022507 0.001
0.00071236 0.001
9.875e-05 0.001
5.531e-05 0.001
0.00073534 0.001
0.0195368 0.001
0.00199596 0.001
0.0164274 0.001
0.00055399 0.001
0.00408322 0.001
0.00012629 0.001
0.00048561 0.001
6.794e-05 0.001
0.00020627 0.001
0.00137978 0.001
0.00111687 0.001
0.00643764 0.001
0.0374179 0.001
0.00843098 0.001
0.0013057 0.001
0.00264376 0.001
0.00201023 0.001
0.00153342 0.001
0.00049648 0.001
0.00068591 0.001
0.00041924 0.001
0.00191841 0.001
0.0011387 0.001
0.00861734 0.001
0.00907164 0.001
0.00508148 0.001
0.00386018 0.001
0.0138728 0.001
0.0091498 0.001
0.032907 0.001
0.0163599 0.001
0.00011782 0.001
0.00176763 0.001
3.061e-05 0.001
0.00123325 0.001
0.0336918 0.001
0.00170589 0.001
9.46e-05 0.001
0.00032428 0.001
0.00089052 0.001
0.00137235 0.001
0.00014424 0.001
0.00054147 0.001
0.00019995 0.001
1.283e-05 0.001
0.00179775 0.001
0.00016258 0.001
0.00043556 0.001
0.00095211 0.001
0.0183528 0.001
0.00084618 0.001
0.0242312 0.001
0.00676354 0.001
0.00871077 0.001
0.0137071 0.001
0.00045935 0.001
0.00109239 0.001
0.0490598 0.001
0.00112034 0.001
0.0229632 0.001
0.00010793 0.001
0.00096364 0.001
0.00010451 0.001
0.00155198 0.001
0.00032281 0.001
9.487e-05 0.001
0.00064637 0.001
0.00011534 0.001
0.00036029 0.001
0.00015242 0.001
0.00051531 0.001
0.00040762 0.001
0.00890779 0.001
0.0230964 0.001
0.00221789 0.001
0.00683611 0.001
0.00117105 0.001
0.00066043 0.001
0.00555684 0.001
0.00050954 0.001
0.00025936 0.001
0.00027266 0.001
0.00055133 0.001
0.00059089 0.001
0.00044168 0.001
0.00239316 0.001
0.00337912 0.001
0.00015837 0.001
